
# Curve 0 of 1, 2975 points
# Curve title: "Muons -25gC mit Trigger oben"
# x y xlow xhigh type
 617.5  3  617.5  617.5  i
 180.5  6  171  190  u
 617.5  2  617.5  617.5  i
 180.5  4  171  190  u
 617.5  2  617.5  617.5  i
 180.5  1  171  190  u
 617.5  1  617.5  617.5  i
 180.5  6  171  190  u
 636.5  4  636.5  636.5  i
 180.5  7  171  190  u
 636.5  1  636.5  636.5  i
 180.5  7  171  190  u
 636.5  4  636.5  636.5  i
 180.5  3  171  190  u
 636.5  12  636.5  636.5  i
 180.5  3  171  190  u
 636.5  1  636.5  636.5  i
 199.5  1  190  209  u
 655.5  1  655.5  655.5  i
 199.5  3  190  209  u
 655.5  4  655.5  655.5  i
 199.5  8  190  209  u
 655.5  2  655.5  655.5  i
 199.5  3  190  209  u
 655.5  1  655.5  655.5  i
 199.5  7  190  209  u
 655.5  1  655.5  655.5  i
 199.5  1  190  209  u
 655.5  4  655.5  655.5  i
 199.5  5  190  209  u
 674.5  1  674.5  674.5  i
 199.5  3  190  209  u
 674.5  1  674.5  674.5  i
 199.5  3  190  209  u
 674.5  3  674.5  674.5  i
 218.5  6  209  228  u
 674.5  1  674.5  674.5  i
 218.5  2  209  228  u
 674.5  1  674.5  674.5  i
 218.5  3  209  228  u
 674.5  1  674.5  674.5  i
 218.5  4  209  228  u
 693.5  1  693.5  693.5  i
 218.5  3  209  228  u
 693.5  2  693.5  693.5  i
 218.5  5  209  228  u
 693.5  1  693.5  693.5  i
 218.5  6  209  228  u
 693.5  4  693.5  693.5  i
 218.5  4  209  228  u
 712.5  1  712.5  712.5  i
 218.5  1  209  228  u
 712.5  4  712.5  712.5  i
 218.5  5  209  228  u
 712.5  1  712.5  712.5  i
 237.5  3  228  247  u
 712.5  1  712.5  712.5  i
 237.5  4  228  247  u
 712.5  2  712.5  712.5  i
 237.5  1  228  247  u
 731.5  6  731.5  731.5  i
 237.5  5  228  247  u
 731.5  1  731.5  731.5  i
 237.5  NaN  228  247  u
 731.5  1  731.5  731.5  i
 237.5  7  228  247  u
 731.5  1  731.5  731.5  i
 237.5  NaN  228  247  u
 731.5  1  731.5  731.5  i
 237.5  5  228  247  u
 731.5  2  731.5  731.5  i
 237.5  1  228  247  u
 750.5  1  750.5  750.5  i
 256.5  4  247  266  u
 750.5  2  750.5  750.5  i
 256.5  2  247  266  u
 750.5  1  750.5  750.5  i
 256.5  4  247  266  u
 750.5  2  750.5  750.5  i
 256.5  3  247  266  u
 769.5  2  769.5  769.5  i
 256.5  3  247  266  u
 769.5  2  769.5  769.5  i
 256.5  4  247  266  u
 769.5  2  769.5  769.5  i
 256.5  5  247  266  u
 769.5  2  769.5  769.5  i
 256.5  5  247  266  u
 769.5  1  769.5  769.5  i
 256.5  2  247  266  u
 788.5  1  788.5  788.5  i
 256.5  5  247  266  u
 788.5  1  788.5  788.5  i
 275.5  4  266  285  u
 788.5  1  788.5  788.5  i
 275.5  2  266  285  u
 807.5  2  807.5  807.5  i
 275.5  8  266  285  u
 807.5  1  807.5  807.5  i
 275.5  2  266  285  u
 807.5  1  807.5  807.5  i
 275.5  2  266  285  u
 807.5  2  807.5  807.5  i
 275.5  2  266  285  u
 807.5  1  807.5  807.5  i
 275.5  2  266  285  u
 826.5  1  826.5  826.5  i
 275.5  4  266  285  u
 826.5  2  826.5  826.5  i
 275.5  2  266  285  u
 826.5  1  826.5  826.5  i
 294.5  2  285  304  u
 826.5  1  826.5  826.5  i
 294.5  1  285  304  u
 826.5  2  826.5  826.5  i
 294.5  5  285  304  u
 826.5  4  826.5  826.5  i
 294.5  2  285  304  u
 845.5  1  845.5  845.5  i
 294.5  3  285  304  u
 845.5  1  845.5  845.5  i
 294.5  3  285  304  u
 845.5  1  845.5  845.5  i
 294.5  2  285  304  u
 845.5  2  845.5  845.5  i
 294.5  3  285  304  u
 845.5  1  845.5  845.5  i
 294.5  3  285  304  u
 845.5  1  845.5  845.5  i
 294.5  1  285  304  u
 864.5  1  864.5  864.5  i
 313.5  4  304  323  u
 864.5  1  864.5  864.5  i
 313.5  4  304  323  u
 864.5  2  864.5  864.5  i
 313.5  2  304  323  u
 864.5  1  864.5  864.5  i
 313.5  2  304  323  u
 864.5  1  864.5  864.5  i
 313.5  NaN  304  323  u
 883.5  1  883.5  883.5  i
 313.5  2  304  323  u
 883.5  2  883.5  883.5  i
 313.5  1  304  323  u
 883.5  2  883.5  883.5  i
 313.5  1  304  323  u
 883.5  1  883.5  883.5  i
 313.5  1  304  323  u
 902.5  1  902.5  902.5  i
 332.5  2  323  342  u
 902.5  1  902.5  902.5  i
 332.5  2  323  342  u
 902.5  2  902.5  902.5  i
 332.5  1  323  342  u
 902.5  2  902.5  902.5  i
 332.5  2  323  342  u
 921.5  2  921.5  921.5  i
 332.5  1  323  342  u
 921.5  1  921.5  921.5  i
 332.5  NaN  323  342  u
 940.5  1  940.5  940.5  i
 332.5  2  323  342  u
 940.5  2  940.5  940.5  i
 332.5  NaN  323  342  u
 940.5  1  940.5  940.5  i
 332.5  3  323  342  u
 940.5  1  940.5  940.5  i
 332.5  2  323  342  u
 940.5  1  940.5  940.5  i
 351.5  1  342  361  u
 940.5  1  940.5  940.5  i
 351.5  2  342  361  u
 940.5  1  940.5  940.5  i
 351.5  4  342  361  u
 959.5  1  959.5  959.5  i
 351.5  6  342  361  u
 959.5  1  959.5  959.5  i
 351.5  NaN  342  361  u
 959.5  1  959.5  959.5  i
 351.5  1  342  361  u
 959.5  1  959.5  959.5  i
 351.5  2  342  361  u
 959.5  1  959.5  959.5  i
 978.5  4  978.5  978.5  i
 351.5  1  342  361  u
 978.5  3  978.5  978.5  i
 351.5  NaN  342  361  u
 978.5  1  978.5  978.5  i
 370.5  NaN  361  380  u
 997.5  2  997.5  997.5  i
 370.5  1  361  380  u
 997.5  2  997.5  997.5  i
 370.5  1  361  380  u
 997.5  1  997.5  997.5  i
 370.5  2  361  380  u
 997.5  1  997.5  997.5  i
 370.5  3  361  380  u
 997.5  1  997.5  997.5  i
 370.5  1  361  380  u
 997.5  2  997.5  997.5  i
 370.5  NaN  361  380  u
 1016.5  2  1016.5  1016.5  i
 370.5  1  361  380  u
 1016.5  1  1016.5  1016.5  i
 370.5  1  361  380  u
 1016.5  2  1016.5  1016.5  i
 389.5  3  380  399  u
 1016.5  2  1016.5  1016.5  i
 389.5  3  380  399  u
 1016.5  1  1016.5  1016.5  i
 389.5  2  380  399  u
 1035.5  1  1035.5  1035.5  i
 389.5  NaN  380  399  u
 1035.5  1  1035.5  1035.5  i
 389.5  NaN  380  399  u
 1035.5  1  1035.5  1035.5  i
 389.5  NaN  380  399  u
 1054.5  1  1054.5  1054.5  i
 389.5  2  380  399  u
 1054.5  1  1054.5  1054.5  i
 389.5  NaN  380  399  u
 1054.5  1  1054.5  1054.5  i
 389.5  NaN  380  399  u
 1054.5  1  1054.5  1054.5  i
 389.5  NaN  380  399  u
 1073.5  1  1073.5  1073.5  i
 408.5  1  399  418  u
 1073.5  2  1073.5  1073.5  i
 408.5  1  399  418  u
 1073.5  1  1073.5  1073.5  i
 408.5  1  399  418  u
 1073.5  1  1073.5  1073.5  i
 408.5  NaN  399  418  u
 1092.5  1  1092.5  1092.5  i
 408.5  NaN  399  418  u
 1092.5  1  1092.5  1092.5  i
 408.5  4  399  418  u
 1092.5  1  1092.5  1092.5  i
 408.5  2  399  418  u
 1092.5  1  1092.5  1092.5  i
 408.5  2  399  418  u
 1092.5  1  1092.5  1092.5  i
 408.5  NaN  399  418  u
 1111.5  1  1111.5  1111.5  i
 427.5  1  418  437  u
 1111.5  1  1111.5  1111.5  i
 427.5  2  418  437  u
 1111.5  1  1111.5  1111.5  i
 427.5  2  418  437  u
 1111.5  1  1111.5  1111.5  i
 427.5  4  418  437  u
 1111.5  1  1111.5  1111.5  i
 427.5  NaN  418  437  u
 1111.5  1  1111.5  1111.5  i
 427.5  1  418  437  u
 1130.5  1  1130.5  1130.5  i
 427.5  2  418  437  u
 1130.5  1  1130.5  1130.5  i
 427.5  NaN  418  437  u
 1130.5  1  1130.5  1130.5  i
 427.5  NaN  418  437  u
 1130.5  1  1130.5  1130.5  i
 427.5  1  418  437  u
 1149.5  1  1149.5  1149.5  i
 446.5  3  437  456  u
 1149.5  1  1149.5  1149.5  i
 446.5  2  437  456  u
 1149.5  1  1149.5  1149.5  i
 446.5  2  437  456  u
 1149.5  2  1149.5  1149.5  i
 446.5  1  437  456  u
 1149.5  4  1149.5  1149.5  i
 446.5  NaN  437  456  u
 1168.5  2  1168.5  1168.5  i
 446.5  NaN  437  456  u
 1168.5  1  1168.5  1168.5  i
 446.5  2  437  456  u
 1168.5  1  1168.5  1168.5  i
 446.5  2  437  456  u
 1168.5  1  1168.5  1168.5  i
 446.5  2  437  456  u
 1168.5  1  1168.5  1168.5  i
 465.5  NaN  456  475  u
 1168.5  1  1168.5  1168.5  i
 1187.5  2  1187.5  1187.5  i
 465.5  2  456  475  u
 1187.5  1  1187.5  1187.5  i
 465.5  1  456  475  u
 1187.5  2  1187.5  1187.5  i
 465.5  1  456  475  u
 1187.5  2  1187.5  1187.5  i
 465.5  NaN  456  475  u
 1187.5  1  1187.5  1187.5  i
 465.5  2  456  475  u
 1187.5  1  1187.5  1187.5  i
 465.5  1  456  475  u
 1206.5  1  1206.5  1206.5  i
 465.5  NaN  456  475  u
 1206.5  1  1206.5  1206.5  i
 465.5  1  456  475  u
 1206.5  1  1206.5  1206.5  i
 484.5  2  475  494  u
 1206.5  1  1206.5  1206.5  i
 484.5  1  475  494  u
 1225.5  1  1225.5  1225.5  i
 484.5  2  475  494  u
 1225.5  1  1225.5  1225.5  i
 484.5  1  475  494  u
 1244.5  1  1244.5  1244.5  i
 484.5  1  475  494  u
 1244.5  1  1244.5  1244.5  i
 484.5  3  475  494  u
 1244.5  2  1244.5  1244.5  i
 484.5  1  475  494  u
 1244.5  2  1244.5  1244.5  i
 484.5  1  475  494  u
 1244.5  1  1244.5  1244.5  i
 484.5  2  475  494  u
 1244.5  1  1244.5  1244.5  i
 1263.5  1  1263.5  1263.5  i
 503.5  1  494  513  u
 1263.5  4  1263.5  1263.5  i
 503.5  NaN  494  513  u
 1263.5  1  1263.5  1263.5  i
 503.5  1  494  513  u
 1263.5  2  1263.5  1263.5  i
 503.5  1  494  513  u
 1263.5  1  1263.5  1263.5  i
 503.5  NaN  494  513  u
 1263.5  1  1263.5  1263.5  i
 503.5  1  494  513  u
 1282.5  1  1282.5  1282.5  i
 503.5  1  494  513  u
 1282.5  2  1282.5  1282.5  i
 503.5  2  494  513  u
 1282.5  1  1282.5  1282.5  i
 503.5  2  494  513  u
 1282.5  1  1282.5  1282.5  i
 503.5  NaN  494  513  u
 1282.5  3  1282.5  1282.5  i
 522.5  1  513  532  u
 1282.5  1  1282.5  1282.5  i
 522.5  1  513  532  u
 1301.5  1  1301.5  1301.5  i
 522.5  1  513  532  u
 1301.5  1  1301.5  1301.5  i
 522.5  NaN  513  532  u
 1301.5  1  1301.5  1301.5  i
 522.5  2  513  532  u
 1301.5  1  1301.5  1301.5  i
 522.5  1  513  532  u
 1301.5  1  1301.5  1301.5  i
 522.5  2  513  532  u
 1320.5  1  1320.5  1320.5  i
 522.5  NaN  513  532  u
 1320.5  1  1320.5  1320.5  i
 522.5  1  513  532  u
 1320.5  2  1320.5  1320.5  i
 541.5  1  532  551  u
 1339.5  2  1339.5  1339.5  i
 541.5  1  532  551  u
 1339.5  1  1339.5  1339.5  i
 541.5  2  532  551  u
 1339.5  2  1339.5  1339.5  i
 541.5  NaN  532  551  u
 1339.5  1  1339.5  1339.5  i
 541.5  1  532  551  u
 1358.5  1  1358.5  1358.5  i
 541.5  1  532  551  u
 1358.5  1  1358.5  1358.5  i
 541.5  1  532  551  u
 1358.5  1  1358.5  1358.5  i
 1377.5  2  1377.5  1377.5  i
 541.5  1  532  551  u
 1377.5  6  1377.5  1377.5  i
 541.5  NaN  532  551  u
 1377.5  1  1377.5  1377.5  i
 560.5  1  551  570  u
 1396.5  1  1396.5  1396.5  i
 560.5  1  551  570  u
 1396.5  2  1396.5  1396.5  i
 560.5  NaN  551  570  u
 1396.5  2  1396.5  1396.5  i
 560.5  1  551  570  u
 1396.5  1  1396.5  1396.5  i
 560.5  1  551  570  u
 1396.5  1  1396.5  1396.5  i
 560.5  1  551  570  u
 1396.5  1  1396.5  1396.5  i
 1415.5  1  1415.5  1415.5  i
 560.5  2  551  570  u
 1415.5  2  1415.5  1415.5  i
 560.5  2  551  570  u
 1415.5  1  1415.5  1415.5  i
 560.5  NaN  551  570  u
 1415.5  1  1415.5  1415.5  i
 579.5  1  570  589  u
 1434.5  1  1434.5  1434.5  i
 579.5  NaN  570  589  u
 1434.5  1  1434.5  1434.5  i
 579.5  NaN  570  589  u
 1453.5  1  1453.5  1453.5  i
 579.5  1  570  589  u
 1453.5  3  1453.5  1453.5  i
 579.5  1  570  589  u
 1453.5  2  1453.5  1453.5  i
 579.5  1  570  589  u
 1472.5  1  1472.5  1472.5  i
 579.5  1  570  589  u
 1472.5  1  1472.5  1472.5  i
 579.5  NaN  570  589  u
 1472.5  1  1472.5  1472.5  i
 579.5  NaN  570  589  u
 1472.5  1  1472.5  1472.5  i
 579.5  NaN  570  589  u
 1491.5  1  1491.5  1491.5  i
 598.5  2  589  608  u
 1491.5  1  1491.5  1491.5  i
 598.5  NaN  589  608  u
 1491.5  1  1491.5  1491.5  i
 598.5  1  589  608  u
 1510.5  1  1510.5  1510.5  i
 598.5  1  589  608  u
 1510.5  1  1510.5  1510.5  i
 598.5  1  589  608  u
 1510.5  1  1510.5  1510.5  i
 598.5  2  589  608  u
 1510.5  1  1510.5  1510.5  i
 598.5  2  589  608  u
 1529.5  1  1529.5  1529.5  i
 598.5  NaN  589  608  u
 1529.5  1  1529.5  1529.5  i
 598.5  1  589  608  u
 1529.5  1  1529.5  1529.5  i
 617.5  1  608  627  u
 1548.5  2  1548.5  1548.5  i
 617.5  1  608  627  u
 1548.5  2  1548.5  1548.5  i
 617.5  NaN  608  627  u
 1548.5  1  1548.5  1548.5  i
 617.5  3  608  627  u
 1567.5  4  1567.5  1567.5  i
 617.5  NaN  608  627  u
 1567.5  1  1567.5  1567.5  i
 617.5  NaN  608  627  u
 1567.5  1  1567.5  1567.5  i
 617.5  2  608  627  u
 1567.5  1  1567.5  1567.5  i
 617.5  NaN  608  627  u
 1567.5  2  1567.5  1567.5  i
 617.5  1  608  627  u
 1586.5  1  1586.5  1586.5  i
 617.5  1  608  627  u
 1586.5  2  1586.5  1586.5  i
 636.5  NaN  627  646  u
 1586.5  1  1586.5  1586.5  i
 636.5  1  627  646  u
 1586.5  1  1586.5  1586.5  i
 636.5  NaN  627  646  u
 1605.5  1  1605.5  1605.5  i
 636.5  NaN  627  646  u
 1605.5  1  1605.5  1605.5  i
 636.5  1  627  646  u
 1624.5  2  1624.5  1624.5  i
 636.5  4  627  646  u
 1624.5  1  1624.5  1624.5  i
 636.5  3  627  646  u
 1643.5  1  1643.5  1643.5  i
 636.5  NaN  627  646  u
 1643.5  1  1643.5  1643.5  i
 636.5  1  627  646  u
 1643.5  1  1643.5  1643.5  i
 655.5  1  646  665  u
 1643.5  2  1643.5  1643.5  i
 655.5  NaN  646  665  u
 1662.5  1  1662.5  1662.5  i
 655.5  NaN  646  665  u
 1662.5  2  1662.5  1662.5  i
 655.5  1  646  665  u
 1662.5  2  1662.5  1662.5  i
 655.5  2  646  665  u
 1662.5  1  1662.5  1662.5  i
 655.5  2  646  665  u
 1681.5  1  1681.5  1681.5  i
 655.5  1  646  665  u
 1681.5  1  1681.5  1681.5  i
 655.5  1  646  665  u
 1681.5  1  1681.5  1681.5  i
 655.5  2  646  665  u
 1681.5  1  1681.5  1681.5  i
 655.5  NaN  646  665  u
 1681.5  1  1681.5  1681.5  i
 674.5  1  665  684  u
 1681.5  1  1681.5  1681.5  i
 674.5  1  665  684  u
 1700.5  1  1700.5  1700.5  i
 674.5  NaN  665  684  u
 1700.5  1  1700.5  1700.5  i
 674.5  NaN  665  684  u
 1700.5  2  1700.5  1700.5  i
 674.5  1  665  684  u
 1719.5  1  1719.5  1719.5  i
 674.5  NaN  665  684  u
 1719.5  1  1719.5  1719.5  i
 674.5  NaN  665  684  u
 1719.5  1  1719.5  1719.5  i
 674.5  NaN  665  684  u
 1738.5  1  1738.5  1738.5  i
 674.5  NaN  665  684  u
 1738.5  2  1738.5  1738.5  i
 693.5  1  684  703  u
 1757.5  1  1757.5  1757.5  i
 693.5  NaN  684  703  u
 1757.5  3  1757.5  1757.5  i
 693.5  NaN  684  703  u
 1757.5  1  1757.5  1757.5  i
 693.5  2  684  703  u
 1757.5  1  1757.5  1757.5  i
 693.5  NaN  684  703  u
 1757.5  1  1757.5  1757.5  i
 693.5  1  684  703  u
 1757.5  1  1757.5  1757.5  i
 693.5  NaN  684  703  u
 1776.5  1  1776.5  1776.5  i
 693.5  1  684  703  u
 1776.5  1  1776.5  1776.5  i
 693.5  2  684  703  u
 1776.5  2  1776.5  1776.5  i
 693.5  NaN  684  703  u
 1776.5  1  1776.5  1776.5  i
 712.5  NaN  703  722  u
 1795.5  1  1795.5  1795.5  i
 712.5  2  703  722  u
 1795.5  1  1795.5  1795.5  i
 712.5  NaN  703  722  u
 1795.5  2  1795.5  1795.5  i
 712.5  1  703  722  u
 1795.5  1  1795.5  1795.5  i
 712.5  NaN  703  722  u
 1814.5  1  1814.5  1814.5  i
