-6,1,3101
-6,0,3071
-6,-1,3014
-5,9,3029
-5,7,4479
-5,5,4563
-5,3,4295
-5,1,4250
-5,0,4110
-5,-1,4144
-5,-3,4046
-5,-5,3999
-5,-7,4081
-5,-9,3354
-4,1,5370
-4,0,5038
-4,-1,4995
-3,11,2807
-3,9,6326
-3,7,5959
-3,5,5387
-3,3,5053
-3,1,5094
-3,0,5103
-3,-1,5089
-3,-3,4910
-3,-5,5101
-3,-7,5360
-3,-9,4979
-3,-11,2581
-2,1,5073
-2,0,4950
-2,-1,5086
-1,12,5785
-1,11,5296
-1,10,5338
-1,9,6207
-1,8,6265
-1,7,6752
-1,6,6424
-1,5,5823
-1,4,5514
-1,3,5418
-1,2,5184
-1,1,5048
-1,0,5026
-1,-1,5125
-1,-2,5142
-1,-3,5110
-1,-4,5402
-1,-5,5429
-1,-6,5496
-1,-7,5728
-1,-8,4907
-1,-9,3543
-1,-10,3184
-1,-11,2708
-1,-12,2837
0,12,7002
0,11,5448
0,10,5248
0,9,6382
0,8,6367
0,7,6713
0,6,6367
0,5,5970
0,4,5568
0,3,5266
0,2,5331
0,1,5268
0,0,5046
0,-1,5128
0,-2,5121
0,-3,5371
0,-4,5450
0,-5,5301
0,-6,5462
0,-7,5505
0,-8,4985
0,-9,3662
0,-10,3293
0,-11,2938
0,-12,3224
1,12,5084
1,11,4812
1,10,4947
1,9,5469
1,8,5586
1,7,6241
1,6,5780
1,5,5481
1,4,5138
1,3,4810
1,2,4766
1,1,4572
1,0,4512
1,-1,4547
1,-2,4514
1,-3,4714
1,-4,4688
1,-5,4857
1,-6,4972
1,-7,5059
1,-8,4470
1,-9,3194
1,-10,2924
1,-11,2704
1,-12,3061
2,1,5065
2,0,4983
2,-1,5035
3,11,2795
3,9,6628
3,7,6146
3,5,5779
3,3,5298
3,1,5197
3,0,5060
3,-1,5023
3,-3,5028
3,-5,5078
3,-7,5370
3,-9,4800
3,-11,2170
4,1,5114
4,0,4945
4,-1,4960
5,9,3040
5,7,4625
5,5,4541
5,3,4401
5,1,4098
5,0,4119
5,-1,3947
5,-3,4282
5,-5,4159
5,-7,4090
5,-9,2993
6,1,3326
6,0,2989
6,-1,3014
