X;Y;Det1;Det1_err;Det2;Det2_err;Coinc;Coinc_err;Ratio1;Ratio2
-3;-1;5089;71,33722731;5031;70,92954251;4240;65,11528238;1,011528523;0,988602869
-3;-1;5089;71,33722731;5031;70,92954251;4240;65,11528238;1,011528523;0,988602869
-3;-3;4910;70,07139217;4992;70,65408693;4136;64,31174076;0,983573718;1,016700611
-3;-3;4910;70,07139217;4992;70,65408693;4136;64,31174076;0,983573718;1,016700611
-3;-5;5101;71,42128534;5417;73,60027174;4450;66,70832032;0,941665128;1,061948638
-3;-5;5101;71,42128534;5417;73,60027174;4450;66,70832032;0,941665128;1,061948638
-3;-7;5360;73,21202087;6032;77,66595136;4800;69,2820323;0,888594164;1,125373134
-3;-7;5360;73,21202087;6032;77,66595136;4800;69,2820323;0,888594164;1,125373134
-3;-9;4979;70,56202945;5883;76,70071708;4560;67,52777206;0,846336903;1,181562563
-3;-9;4979;70,56202945;5883;76,70071708;4560;67,52777206;0,846336903;1,181562563
-3;-11;2581;50,80354318;2600;50,99019514;2082;45,62893819;0,992692308;1,007361488
-3;-11;2581;50,80354318;2600;50,99019514;2082;45,62893819;0,992692308;1,007361488

-1;12;5785;76,05918748;2031;45,06661736;2023;44,97777229;2,848350566;0,35108038
-1;11;5296;72,77362159;2327;48,23898838;2317;48,13522619;2,275891706;0,439388218
-1;10;5338;73,06161783;2843;53,31978995;2819;53,09425581;1,877594091;0,532596478
-1;9;6207;78,78451625;3893;62,39390996;3820;61,80614856;1,594400205;0,627195102
-1;8;6265;79,15175298;4462;66,79820357;4318;65,71149062;1,404078888;0,712210694
-1;7;6752;82,17055434;5211;72,18725649;4959;70,42016757;1,295720591;0,771771327
-1;6;6424;80,14985964;5358;73,19836064;4973;70,51950085;1,198954834;0,834059776
-1;5;5823;76,30858405;5033;70,9436396;4538;67,36467917;1,156964037;0,864331101
-1;4;5514;74,25631286;4944;70,31358332;4409;66,4003012;1,115291262;0,896626768
-1;3;5418;73,60706488;4982;70,58328414;4353;65,97726881;1,087515054;0,919527501
-1;2;5184;72;4790;69,20982589;4199;64,79969136;1,082254697;0,923996914
-1;1;5048;71,04927867;4905;70,03570518;4165;64,5368112;1,029153925;0,971671949
-1;0;5026;70,8942875;4934;70,24243732;4156;64,46704585;1,018646129;0,981695185
-1;-1;5125;71,58910532;5107;71,46327728;4287;65,47518614;1,003524574;0,996487805
-1;-2;5142;71,70774017;5287;72,71175971;4400;66,33249581;0,972574239;1,028199144
-1;-3;5110;71,484264;5294;72,75987905;4420;66,48308055;0,965243672;1,036007828
-1;-4;5402;73,4982993;5684;75,3923073;4712;68,64400921;0,950387051;1,052202888
-1;-5;5429;73,68174808;6028;77,64019578;4828;69,48381106;0,900630392;1,110333395
-1;-6;5496;74,13501197;6462;80,38656604;5062;71,14773363;0,850510678;1,175764192
-1;-7;5728;75,68355171;7233;85,0470458;4808;69,33974329;0,791925895;1,262744413
