LECROYWR104MXi-Al‘ 54380 Waveform
Segments 1 SegmentSize 5002
Segment TrigTime TimeSinceSegment1
#1 03-Aug-2017 10:50:49 0                 
Time Ampl
-2.426535e-008 -0.00106746
-2.406535e-008 -0.000744971
-2.386535e-008 -0.000869967
-2.366535e-008 -0.0013962
-2.346535e-008 -0.0013987
-2.326535e-008 -0.000869967
-2.306535e-008 -0.0013962
-2.286535e-008 -0.00107121
-2.266535e-008 -0.00118245
-2.246535e-008 -0.0013962
-2.226535e-008 -0.000744971
-2.206535e-008 -0.000869967
-2.186535e-008 -0.00106746
-2.166535e-008 -0.000418734
-2.146535e-008 0.000377486
-2.126535e-008 -0.00106746
-2.106535e-008 -0.00107121
-2.086535e-008 -0.000869967
-2.066535e-008 -0.00106746
-2.046535e-008 -0.000744971
-2.026535e-008 -0.000869967
-2.006535e-008 -0.0013962
-1.986535e-008 -0.000744971
-1.966535e-008 -0.000557479
-1.946535e-008 -0.0013962
-1.926535e-008 -0.00107121
-1.906535e-008 -0.000869967
-1.886535e-008 -0.000738722
-1.866535e-008 -0.000744971
-1.846535e-008 -0.00118245
-1.826535e-008 -0.0013962
-1.806535e-008 -0.000744971
-1.786535e-008 -0.000557479
-1.766535e-008 -0.00172618
-1.746535e-008 -0.00172743
-1.726535e-008 -0.000869967
-1.706535e-008 -0.0013962
-1.686535e-008 -0.00107121
-1.666535e-008 -0.000869967
-1.646535e-008 -0.000738722
-1.626535e-008 -0.0013987
-1.606535e-008 -0.00149494
-1.586535e-008 -0.00106746
-1.566535e-008 -0.00107121
-1.546535e-008 -0.000869967
-1.526535e-008 -0.00172618
-1.506535e-008 -0.0013987
-1.486535e-008 -0.00118245
-1.466535e-008 -0.0013962
-1.446535e-008 -0.000744971
-1.426535e-008 -0.000557479
-1.406535e-008 -0.00106746
-1.386535e-008 -0.000744971
-1.366535e-008 -0.00118245
-1.346535e-008 -0.0013962
-1.326535e-008 -0.00107121
-1.306535e-008 -0.000246241
-1.286535e-008 -0.00106746
-1.266535e-008 -0.0013987
-1.246535e-008 -0.00149494
-1.226535e-008 -0.0013962
-1.206535e-008 -0.0013987
-1.186535e-008 -0.000869967
-1.166535e-008 -0.000738722
-1.146535e-008 -0.0013987
-1.126535e-008 -0.000869967
-1.106535e-008 -0.00106746
-1.086535e-008 -0.0013987
-1.066535e-008 -0.000869967
-1.046535e-008 -0.000411234
-1.026535e-008 -0.00107121
-1.006535e-008 -0.000869967
-9.865352e-009 -0.0013962
-9.665352e-009 -0.00107121
-9.465352e-009 -0.00118245
-9.265352e-009 -0.00172618
-9.065352e-009 -0.0013987
-8.865352e-009 -0.00149494
-8.665352e-009 -0.00238491
-8.465352e-009 -0.00303988
-8.265352e-009 -0.00306488
-8.065352e-009 -0.00369861
-7.865352e-009 -0.00369111
-7.665352e-009 -0.00433358
-7.465352e-009 -0.00434858
-7.265352e-009 -0.00465732
-7.065352e-009 -0.00529355
-6.865352e-009 -0.0053098
-6.665352e-009 -0.0052923
-6.465352e-009 -0.00561478
-6.265352e-009 -0.00467107
-6.065352e-009 -0.00497606
-5.865352e-009 -0.00497231
-5.665352e-009 -0.00625101
-5.465352e-009 -0.0065285
-5.265352e-009 -0.00723472
-5.065352e-009 -0.00717222
-4.865352e-009 -0.00713598
-4.665352e-009 -0.00788345
-4.465352e-009 -0.0077797
-4.265352e-009 -0.00834093
-4.065352e-009 -0.00885716
-3.865352e-009 -0.00808094
-3.665352e-009 -0.00834093
-3.465352e-009 -0.00917965
-3.265352e-009 -0.00957963
