# Manueller Vergleich der Aus- und Eingangsspannungen ohne Last (ohne SiPM)
# HV_in HV_Board HV_Out
0.00 0.07 0.00
5.00 1.65 1.56
10.00 4.10 4.01
15.00 8.66 8.58
20.00 13.48 13.34
25.00 18.39 18.30
30.00 23.29 23.10
35.00 27.50 27.30
40.00 32.50 32.27
45.00 37.44 37.15
50.00 41.75 41.48
55.00 46.33 46.00
60.00 50.45 50.09
65.00 55.74 55.34
70.00 59.93 59.49
75.00 65.02 64.52
80.00 70.10 69.58
85.00 74.29 73.72
90.00 79.15 78.53
95.00 83.39 82.70
