10000;1.00E+05;2152.01;0.5;141.92;0.38;902.767312;-10000;-9941.849189;58.150811
15000;1.00E+05;2886.37;0.59;161.85;0.59;1029.544035;-5000;-5270.511793;-270.511793
20000;1.00E+05;3752.35;0.77;159.61;0.63;1015.295171;0;238.073585;238.073585
25000;1.02E+05;4511.17;0.52;155.54;0.42;989.405494;5000;5065.003487;65.003487
30000;1.03E+05;5278.49;0.51;146.21;0.43;930.056431;10000;9946.002739;-53.997261
35000;1.00E+05;6072.26;0.57;157.78;0.49;1003.654358;15000;14995.25309;-4.746914
40000;1.00E+06;6854.12;0.56;149;0.45;947.8039;20000;19968.74273;-31.257268

