LECROYWR104MXi-Al‘ 54380 Histogram
Segments 1 SegmentSize 165
Segment TrigTime TimeSinceSegment1
#1 21-Jun-2017 12:41:57 0                 
Time Ampl
-8.28e-009 12
-8.23e-009 10
-8.18e-009 12
-8.13e-009 13
-8.08e-009 9
-8.03e-009 18
-7.98e-009 13
-7.93e-009 9
-7.88e-009 15
-7.83e-009 10
-7.78e-009 18
-7.73e-009 18
-7.68e-009 18
-7.63e-009 21
-7.58e-009 21
-7.53e-009 18
-7.48e-009 22
-7.43e-009 21
-7.38e-009 18
-7.33e-009 18
-7.28e-009 25
-7.23e-009 14
-7.18e-009 21
-7.13e-009 22
-7.08e-009 22
-7.03e-009 26
-6.98e-009 19
-6.93e-009 26
-6.88e-009 27
-6.83e-009 30
-6.78e-009 21
-6.73e-009 29
-6.68e-009 36
-6.63e-009 37
-6.58e-009 30
-6.53e-009 30
-6.48e-009 40
-6.43e-009 45
-6.38e-009 36
-6.33e-009 31
-6.28e-009 52
-6.23e-009 55
-6.18e-009 39
-6.13e-009 62
-6.08e-009 46
-6.03e-009 47
-5.98e-009 50
-5.93e-009 48
-5.88e-009 71
-5.83e-009 69
-5.78e-009 57
-5.73e-009 66
-5.68e-009 74
-5.63e-009 72
-5.58e-009 72
-5.53e-009 78
-5.48e-009 73
-5.43e-009 83
-5.38e-009 75
-5.33e-009 91
-5.28e-009 85
-5.23e-009 85
-5.18e-009 96
-5.13e-009 109
-5.08e-009 119
-5.03e-009 119
-4.98e-009 100
-4.93e-009 135
-4.88e-009 135
-4.83e-009 120
-4.78e-009 145
-4.73e-009 135
-4.68e-009 153
-4.63e-009 161
-4.58e-009 156
-4.53e-009 157
-4.48e-009 146
-4.43e-009 173
-4.38e-009 171
-4.33e-009 161
-4.28e-009 143
-4.23e-009 205
-4.18e-009 229
-4.13e-009 253
-4.08e-009 243
-4.03e-009 238
-3.98e-009 261
-3.93e-009 292
-3.88e-009 290
-3.83e-009 301
-3.78e-009 314
-3.73e-009 352
-3.68e-009 332
-3.63e-009 328
-3.58e-009 330
-3.53e-009 375
-3.48e-009 372
-3.43e-009 407
-3.38e-009 373
-3.33e-009 395
-3.28e-009 387
-3.23e-009 423
-3.18e-009 429
-3.13e-009 493
-3.08e-009 505
-3.03e-009 547
-2.98e-009 577
-2.93e-009 576
-2.88e-009 612
-2.83e-009 650
-2.78e-009 625
-2.73e-009 746
-2.68e-009 714
-2.63e-009 795
-2.58e-009 773
-2.53e-009 854
-2.48e-009 830
-2.43e-009 863
-2.38e-009 841
-2.33e-009 848
-2.28e-009 890
-2.23e-009 917
-2.18e-009 922
-2.13e-009 965
-2.08e-009 1183
-2.03e-009 1219
-1.98e-009 1241
-1.93e-009 1354
-1.88e-009 1332
-1.83e-009 1414
-1.78e-009 1535
-1.73e-009 1616
-1.68e-009 1664
-1.63e-009 1695
-1.58e-009 1784
-1.53e-009 1748
-1.48e-009 1821
-1.43e-009 1708
-1.38e-009 1752
-1.33e-009 1726
-1.28e-009 1734
-1.23e-009 1638
-1.18e-009 1669
-1.13e-009 1665
-1.08e-009 1893
-1.03e-009 2742
-9.8e-010 2650
-9.3e-010 2686
-8.8e-010 2738
-8.3e-010 2690
-7.8e-010 2741
-7.3e-010 2878
-6.8e-010 2782
-6.3e-010 2611
-5.8e-010 2450
-5.3e-010 2056
-4.8e-010 1797
-4.3e-010 1409
-3.8e-010 1139
-3.3e-010 888
-2.8e-010 712
-2.3e-010 643
-1.8e-010 500
-1.3e-010 425
-8e-011 337
