133Ba;-25;674;0.38;111.7;1.19;356;;;
22Na(e+);-25;1201.03;0.76;107.3;1.76;511;;;
137Cs;-25;1270.03;0.44;107.56;1.8;661.7;;;
22Na;-25;2862.65;3.76;121.08;12.28;1247.6;;;
60Co;-25;2832.36;7.36;143.95;11.46;1173;;;
;;3100.52;4.78;103.06;24.36;1333;;;
